index_label,name,id
0,海阔天空,346089
1,爱如潮水,186345
2,至少还有你,4876355
3,童话镇,413829859
4,爸爸妈妈,407450223
5,快乐崇拜,2047949802
6,老人与海,95475
7,我们都一样,191252
8,过火,423406145
9,南山南,29436904
10,海浪,1320101152
11,开心就好不要烦恼,455672537
12,给我一点温度,402073808
13,盛夏光年,5255949
14,只有音乐才是我的解药,25843040
15,勇,316498
16,耿耿于怀,135188
17,无尽,28940048
18,Song F,350830
19,未来,1376159572
20,彩虹的微笑,1480378513
21,HAVE A NICE DAY,1817447929
22,就是我,26305523
23,Goodbye & Hello,208935
24,追,286957
25,气温37度的遐想,1459941207
26,牛仔裤日记,318102
27,礼物,1894088568
28,Soufflé,1901070339
29,妙龄童,29979822
30,崇拜,2055887708
31,向云端,2049512697
32,Summer Tango 夏日探戈,2058740951
33,笼,2057534370
34,倒数,1299550532
35,算了,2052409208
36,我记得,1974443814
37,Summer Tango Instrumental,2058740952
38,底牌,2055808604
39,如果我们不曾相遇,417953659
40,可惜我是水瓶座,316654
41,处处吻,316686
42,野孩子,317379
44,飞女正传,316509
45,假如让我说下去,316637
46,为何他会离开你,316583
47,小城大事,406347524
48,杨千嬅,316955
49,悲歌之王,316941
50,我要,1466045891
51,脸红接收处,1813590062
52,愿不愿意,1870185449
53,非花,1839485202
54,沦陷,1478375353
55,窒息,1821804825
56,爱在晚秋之前,1888412536
57,钟摆,1859414236
58,某个夜里,1878315612
59,爱，存在,1456286877
60,暗恋,1936330988
61,可,1954420092
62,如果这就是爱情,25640792
63,画心,327089
64,绽放美妙惊喜,1853731672
65,爱的供养,34179921
66,离歌 (Live),31877250
67,念念不忘,2024809489
68,梦想,327309
69,终于等到你,481859184
70,我的秘密,26117675
71,心之焰,481535566
72,那一夜,1318284264
73,盲点,36199531
74,A.I.N.Y.,26154890
75,瞬间,34723529
76,错过不错,1305364667
77,另一个童话,1305366734
78,岩石里的花,1331535573
79,睡公主,234070
80,想去海边,1413863166
81,爱在夏天,563563366
82,夏日漱石 (Summer Cozy Rock),1359818052
83,夏夜晚风,157263
84,海芋恋,168039
85,夏天的风,390892
86,百褶裙的夏天,255537
87,夏天的浪花,326906
88,夏夜晴朗的晚上,1871871951
89,无人的海边,1388674995
90,晚风心里吹,2003262659
91,我爱你不问归期,1960567811
92,浮夸,66282
93,白玫瑰,65761
94,慢慢,189315
95,黄昏,5255640
96,戒烟,519250023
97,天使的翅膀 Angel's Wing,1493994313
98,习惯失恋,1897927044
99,明天过后,27588734
101,打开心,2059455534
102,By your side,2058747184
103,当我走向你（I Do）,2059448492
104,I  Always Love You,2055273511
105,小红花,2055889540
106,只想把你偷偷藏好,2056206939
107,Braving Love,2055273512
108,照亮,2055859740
109,只有你,2055575000
110,谁家,1930205037
111,Kill The Game,1340535891
112,Ice Tea,448917124
113,只恨光阴,1855910780
114,此地无银二百两,1467110323
115,鲁伯特之泪,1846653916
116,夕阳西下,1315616232
117,硕鼠,1841418475
118,回马枪,1885536903
119,陈胜吴广,441138050
120,这世界那么多人,1842025914
121,阴天,277775
122,忽然之间,277759
123,如果没有你,277111
124,慢慢喜欢你,541687281
125,当你老了,30621954
126,幻听,277467
127,茉莉花,1480094090
128,外面的世界,1480095033
129,未了情,277404
130,江南,26305527
131,流年,299445
132,盛夏的果实,277382
133,相约一九九八,5272610
134,人质,454828889
135,红玫瑰(国),65126
136,听说爱情回来过,255904
137,情歌王,86279
138,你是我的眼,168500
139,心在跳,112766
140,如果有来生,293948
141,但求疼,1950291730
142,谭某某,293973
143,雪落下的声音,294052
144,中华有我,1944400288
